date,word,letter1,letter2,letter3,letter4,letter5,letter1rank,letter2rank,letter3rank,letter4rank,letter5rank,rarityscore,positionalraritypercentile,summativeraritypercentile
30-Aug-21,swirl,s,w,i,r,l,1,15,3,7,9,35,0.56,0.490826395
31-Aug-21,argue,a,r,g,u,e,6,6,14,16,2,44,0.81,0.380820228
1-Sep-21,bleed,b,l,e,e,d,3,7,6,1,4,21,0.11,0.490826395
2-Sep-21,delta,d,e,l,t,a,8,3,7,3,6,27,0.28,0.19164354
3-Sep-21,flick,f,l,i,c,k,11,7,3,14,13,48,0.88,0.978029602
4-Sep-21,totem,t,o,t,e,m,5,2,9,1,14,31,0.42,0.380820228
5-Sep-21,wooer,w,o,o,e,r,14,2,4,1,7,28,0.31,0.346284305
6-Sep-21,front,f,r,o,n,t,11,6,4,5,5,31,0.42,0.684397163
7-Sep-21,shrub,s,h,r,u,b,1,8,2,16,22,49,0.89,0.785769349
8-Sep-21,parry,p,a,r,r,y,4,1,2,7,3,17,0.05,0.452898551
9-Sep-21,biome,b,i,o,m,e,3,4,4,15,2,28,0.31,0.653484428
10-Sep-21,lapel,l,a,p,e,l,12,1,15,1,9,38,0.65,0.249537465
11-Sep-21,start,s,t,a,r,t,1,11,1,7,5,25,0.22,0.073851372
12-Sep-21,greet,g,r,e,e,t,9,6,6,1,5,27,0.28,0.2804502
13-Sep-21,goner,g,o,n,e,r,9,2,5,1,7,24,0.19,0.380820228
14-Sep-21,golem,g,o,l,e,m,9,2,7,1,14,33,0.49,0.653484428
15-Sep-21,lusty,l,u,s,t,y,12,5,10,3,3,33,0.49,0.417514647
16-Sep-21,loopy,l,o,o,p,y,12,2,4,13,3,34,0.53,0.52436016
17-Sep-21,round,r,o,u,n,d,10,2,8,5,4,29,0.35,0.452898551
18-Sep-21,audit,a,u,d,i,t,6,5,13,4,5,33,0.49,0.417514647
19-Sep-21,lying,l,y,i,n,g,12,10,3,5,16,46,0.84,0.810823312
20-Sep-21,gamma,g,a,m,m,a,9,1,11,15,6,42,0.76,0.852605612
21-Sep-21,labor,l,a,b,o,r,12,1,16,8,7,44,0.81,0.380820228
22-Sep-21,islet,i,s,l,e,t,23,17,7,1,5,53,0.93,0.060206599
23-Sep-21,civic,c,i,v,i,c,2,4,19,4,17,46,0.84,0.947656491
24-Sep-21,forge,f,o,r,g,e,11,2,2,12,2,29,0.35,0.738282455
25-Sep-21,corny,c,o,r,n,y,2,2,2,5,3,14,0.02,0.590425532
26-Sep-21,moult,m,o,u,l,t,7,2,8,6,5,28,0.31,0.624884366
27-Sep-21,basic,b,a,s,i,c,3,1,10,4,17,35,0.56,0.52436016
28-Sep-21,salad,s,a,l,a,d,1,1,7,2,4,15,0.03,0.073851372
